,label,PCA_feature_110,PCA_feature_124,PCA_feature_114,PCA_feature_18,PCA_feature_37,PCA_feature_44,PCA_feature_109,PCA_feature_86,PCA_feature_112,PCA_feature_8,PCA_feature_115,PCA_feature_107,PCA_feature_131,PCA_feature_41,PCA_feature_27
1,1.0,0.04226239089836448,-0.025485784054757488,0.1284272839353719,0.4403746652001844,0.08514024214391144,-0.4230782343371899,-0.018230316436545324,-0.11532278639752847,0.01736217738890755,2.1650109425055777,0.011518646098780167,-0.03523838535896462,4.440892098500626e-16,0.9048079396983691,-0.573844127871646
2,1.0,0.00818023548383462,-0.0027394974476784295,0.009089204769243298,-2.587914615350983,0.030307935474912506,-0.3609697473128748,-0.0059119732142802195,0.008920837058808861,-0.0005789371293843937,-0.3965581140951071,0.013912426277892083,-0.004314277107763498,-2.1094237467877974e-15,-0.25343500085135684,0.8238868571153347
2,0.0,0.0084220417626934,0.009122865308722639,-0.04438008662329716,-3.9404674357823883,-1.812374661830045,-1.8192699890539683,-0.008750243480231748,0.19069522203073153,-0.024446800842526158,2.571581726613576,-0.09771141128503981,0.13179282952725957,-2.0122792321330962e-15,4.296515878011751,-0.22524447457717572
3,0.0,0.6345490556559028,-0.23782055344313902,0.06259123555546817,-0.8431299840489928,-2.102239687051916,-0.5102857916358383,0.0023348664193370977,1.057575701463661,-0.12389868137229013,3.5597197709938646,-0.0757054416830289,-0.32637972574224644,-2.636779683484747e-16,-1.8889833112034606,-0.6618980812623585
4,0.0,-0.046924207925141494,0.011857536492165251,-0.0947237417344794,-0.9530845011430924,-1.922740180842276,-2.3494473190833527,0.16162265086902133,0.1429571991150996,-0.10164871987936797,10.953961530069844,-0.2956690103405136,-0.2048295722629733,8.326672684688674e-17,-2.3740183820469976,-1.58849284604752
5,0.0,-0.03838634472281675,-0.002518789328636778,0.05190504250613459,-0.014184579950459186,-4.507630963195201,3.8792809363164915,0.01735509913115211,-0.10552344788191753,0.09222414585214445,-1.600923317481033,-0.007716785923285542,0.0992915983615982,1.7139067942650854e-15,2.0145971926991098,-5.8120548741936435
5,1.0,-0.7512529314747729,0.7277241658000297,-0.2964501907656391,-0.7131334412363921,1.1052218499431443,0.3937978521238673,-0.43484662851170763,-0.4744488475111289,0.00928333115617247,0.7602191700942845,-0.250195349827655,0.12761584908937748,-4.926614671774132e-16,-0.3707147026819116,0.44506677809857886
7,0.0,-0.22207297551079502,0.1658299215964103,0.025119273251128837,0.9455827158167618,0.5451360699292491,-1.982177010388476,0.007791140664749316,0.4891012369923782,0.45781590259417937,5.987968446231515,-0.10437150176944393,0.15967056864809653,4.85722573273506e-16,0.03191637831818456,-0.5264199725192424
7,1.0,0.09578620562372892,-0.22052390078507117,-0.1438337129899872,-1.3225775645988262,-0.23222881697525272,-1.6249031107953957,0.17810466255150464,0.09642605386420439,0.062159219898802076,0.6107630259211487,0.15376740199337796,0.104787272396941,-9.228728892196614e-16,-0.7782881263721932,1.9321015159724595
8,1.0,0.07270843851904737,0.1093192254600823,-0.14194072290353443,-1.0231304787434274,0.9597951056034268,-1.6382644309642447,0.3582924730346329,0.4995444345304699,-0.3527027120353204,0.7115930464257677,-0.17632467893826512,0.37636449091154034,-2.706168622523819e-16,-0.0784070217329015,1.8154054426096504
9,0.0,0.0073510454553848414,-0.0016379256421700794,0.00035284060936324746,1.7153570620712255,-2.143647534562442,0.2605370876854538,0.017769823430426934,0.0348729566464564,-0.0003175273690545488,-2.265562329780609,-0.001569992806170331,-0.0436018701881159,6.328271240363392e-15,0.4661599168840934,1.32842916804735
10,1.0,-0.00858113585488851,-0.008582594385902614,-0.0009534106242814477,-2.244445420599597,1.6210192625938877,-1.286942822857002,0.017144415241947125,0.04994087849415885,0.004875809610299875,3.5711072306410476,0.05516100782397648,-0.001293469544395895,3.649858193455202e-15,-0.08766201358150477,1.4709850233145572
11,1.0,-0.14233834782143637,0.025436363294366833,0.20360363896760852,0.6955737309902814,0.7125987130488755,-0.03350442358488359,-0.1674786118926221,-0.4566260746206877,0.007564515119052095,1.033667644756869,0.09510862071514935,0.228283148506822,1.3877787807814457e-16,-1.0457993282045779,0.44515557587061155
11,0.0,-0.015784777957650986,0.01983051269327918,-0.048568674586042804,-3.186002526621882,2.2962249210967753,2.4721484377028684,0.04607209335188398,-0.04190681113305561,-0.0012674337737872965,7.453112239690464,0.002934200085032923,0.05651420444465824,2.1788126858268697e-15,-2.493274740052182,-2.6772864177439017
12,1.0,0.038344816033112766,0.028278983122229207,0.00279008329708208,-3.8877061679230738,2.3096765750915855,-0.846501799513669,-0.025556958499955415,-0.015413722745997227,-0.018130967028872402,6.323035357239058,-0.08473319273090255,-0.002618957245109216,1.1102230246251565e-15,-3.7257992643968105,-3.1887415535134735
13,0.0,-0.012985488460007244,7.690036710489984e-05,0.009116531359736446,-1.011621734270546,1.8525003492594208,-1.3794507136946388,-0.015193339549944368,-0.16048431006490416,-0.02080798996408062,0.16569431648175537,0.004038315590691597,0.02634697440293518,2.6645352591003757e-15,0.4843100409257437,-6.216869850998434
13,1.0,-0.017688246976249267,-0.022072897884607576,0.021783500197044642,-5.201401320355294,0.14163348404415765,1.3750070537696701,-0.0317209102935309,-0.041912197921845765,0.05089928447217307,8.597308859715282,-0.0019435854447610286,-0.0177201183220842,8.881784197001252e-16,1.0792866937559114,0.5029957278992804
16,1.0,0.07762114947278076,0.017357005979267273,-0.03855060747503111,6.0491013101910465,-1.0820856048654046,-0.5054320923813765,-0.08405941162380277,0.016641786194070834,0.08839057341229606,0.6760495111510788,0.03454748446118058,0.03880203447703451,-2.0816681711721685e-17,1.3867149705176038,1.4880256119455844
16,0.0,-0.08219060995119976,0.03004900094602518,0.0015536227736608343,2.117369601337737,0.03624105102727848,-2.216154037188877,0.02080663565338764,0.14507537727367825,0.010351185446042244,9.463518228339085,-0.05273504120215407,-0.015500456193623155,-1.2004286453759505e-15,-1.377599407821459,-2.272675211503069
17,1.0,-0.774480301293313,-0.42141351785737646,-0.7340883894786647,-1.625046165758781,-0.4791605351712038,1.3441808543313498,-0.520605248592612,-0.4941845744861611,0.37610817221188636,-7.125091806113433,0.35408576230451305,-0.10851643837415936,2.0816681711721685e-15,-0.6583479611681495,-0.09079365048603394
17,0.0,0.05713390927181648,-0.06654944458904322,0.028770509392512522,3.4367155925248944,-0.11809386876752992,1.5221542757452435,-0.03694228084678859,-0.09534788347052058,-0.162689364856078,4.327304232421381,0.31874608559646206,-0.22580831323505857,5.689893001203927e-16,0.17541409080341458,-3.860655865764943
18,1.0,0.27686962071686555,-0.010165038090031386,-0.37010949852137764,-1.818503891370745,1.296541821923796,1.4552245156080252,0.3116624363125441,-0.01064138216551358,-0.48008094301788246,0.7720550529805038,0.47645580333880966,-0.2646509469164114,7.077671781985373e-16,-0.10107065434864351,0.31960274548769985
